Designator,Mid X,Mid Y,Rotation,Layer
C1,138.0,-113.73,270.0,bottom
C2,144.5,-107.75,90.0,bottom
R1,122.25,-117.7875,90.0,bottom
R10,162.25,-124.24,0.0,bottom
R11,162.25,-129.0,0.0,bottom
R12,162.25,-126.75,0.0,bottom
R13,181.0,-107.5,0.0,bottom
R14,181.0,-110.0,0.0,bottom
R15,181.0,-114.75,0.0,bottom
R16,181.0,-112.5,0.0,bottom
R17,139.0,-126.75,90.0,bottom
R18,162.75,-100.0,90.0,bottom
R19,155.75,-98.5,270.0,bottom
R2,119.75,-117.7875,90.0,bottom
R3,114.75,-117.7875,90.0,bottom
R4,117.25,-117.75,90.0,bottom
R5,115.75,-113.25,180.0,bottom
R6,115.7125,-110.75,180.0,bottom
R7,115.75,-106.0,180.0,bottom
R8,115.75,-108.5,180.0,bottom
R9,162.25,-121.75,0.0,bottom
U1,133.25,-109.0,180.0,bottom
U2,150.0,-109.0,90.0,bottom
